ASN,AS_Handle,ISP_Organization_Name,Country_Code,Country_Name,Region,IPv4_CIDRs,IPv6_CIDRs,Total_IPv4_Addresses
29314,VECTRANET-AS,"VECTRANET-AS Al. Zwyciestwa 253, 81-525 Gdynia, Poland",PL,Польша,Europe,197,98,600576
14977,STATE-OF-WYOMING-ASN,STATE-OF-WYOMING-ASN - State of Wyoming Department A&I,US,США,United States,11,1,595200
10361,BLOOMBERG-NET,"BLOOMBERG-NET - Bloomberg, LP",US,США,United States,101,0,593664
8473,BAHNHOF,BAHNHOF Bahnhof AB,SE,Швеция,Europe,111,39,592384
2897,GEORGIA-1,GEORGIA-1 - Georgia Technology Authority,US,США,United States,21,0,589824
23089,HOTWIRE-COMMUNICATIONS,HOTWIRE-COMMUNICATIONS - Hotwire Communications,US,США,United States,429,10,583680
25255,H3G-Austria-AS,H3G-Austria-AS Hutchison Drei Austria GmbH,AT,Австрия,Europe,34,2,575232
8422,NETCOLOGNE,NETCOLOGNE NetCologne Gesellschaft fur Telekommunikation mbH,DE,Германия,Europe,42,30,572160
39603,P4NET,P4NET P4 Play network operator,PL,Польша,Europe,9,1,565248
12552,GlobalConnect-AS12552,GlobalConnect-AS12552 GlobalConnect AB,SE,Швеция,Europe,297,64,560896
39642,Sinal-AS,Sinal-AS Sinal A/S,DK,Дания,Europe,41,9,558592
6621,HNS-DIRECPC,"HNS-DIRECPC - Hughes Network Systems, LLC",US,США,United States,169,67,550912
46606,UNIFIEDLAYER-AS-1,UNIFIEDLAYER-AS-1 - Unified Layer,US,США,United States,231,0,550912
395954,LEASEWEB-USA-LAX,"LEASEWEB-USA-LAX - Leaseweb USA, Inc.",US,США,United States,173,3,550144
8437,UTA-AS,UTA-AS Hutchison Drei Austria GmbH,AT,Австрия,Europe,86,67,549887
21497,UMC-AS,"UMC-AS PrJSC ""VF UKRAINE""",UA,Украина,Ukraine,66,1,548608
19773,MOTOROLA-SOLUTIONS,"MOTOROLA-SOLUTIONS - Motorola, Inc.",US,США,United States,99,1,545280
2379,CENTURYLINK-LEGACY-EMBARQ-WNPK,"CENTURYLINK-LEGACY-EMBARQ-WNPK - CenturyLink Communications, LLC",US,США,United States,461,0,544512
51167,CONTABO,CONTABO Contabo GmbH,DE,Германия,Europe,250,2,542720
6866,CYTA-NETWORK,CYTA-NETWORK Cyprus Telecommunications Authority,CY,Кипр,Europe,91,39,541440
10430,WA-K20,WA-K20 - Washington State K-20 Telecommunications Network,US,США,United States,87,1,539392
19994,RACKSPACE,RACKSPACE - Rackspace Hosting,US,США,United States,60,1,537088
24608,WINDTRE-AS,WINDTRE-AS WIND TRE S.P.A.,IT,Италия,Europe,5,0,533504
13237,LAMBDANET-AS,LAMBDANET-AS European Backbone of AS13237,DE,Германия,Europe,138,97,531456
3598,MICROSOFT-CORP-AS,MICROSOFT-CORP-AS - Microsoft Corporation,US,США,United States,27,81,531200
7726,FITC-AS,FITC-AS - FedEx Internet Technologies Corporation,US,США,United States,38,53,530176
206067,H3GUK,H3GUK Hutchison 3G UK Limited,GB,Великобритания,Europe,129,60,529152
13037,ZEN-AS,ZEN-AS Zen Internet - UK,GB,Великобритания,Europe,36,1,527616
2607,SANET,SANET Zdruzenie pouzivatelov Slovenskej akademickej datovej siete SANET,SK,Словакия,Europe,12,1,526080
8612,TISCALI-IT,TISCALI-IT Smeraldo S.p.A.,IT,Италия,Europe,25,1,525056
19165,WEBPASS,WEBPASS - Webpass Inc.,US,США,United States,24,20,523776
7046,RFC2270-UUNET-CUSTOMER,RFC2270-UUNET-CUSTOMER - Verizon Business,US,США,United States,191,25,520704
8767,MNET-AS,MNET-AS M-net Telekommunikations GmbH,DE,Германия,Europe,69,10,520704
12338,EUSKALTEL,EUSKALTEL Euskaltel S.A.,ES,Испания,Europe,108,63,514304
3300,BT,BT British Telecommunications Limited,GB,Великобритания,Europe,103,21,513280
13649,ASN-FLEXENTIAL,ASN-FLEXENTIAL - Flexential Colorado Corp.,US,США,United States,598,176,509952
13325,STOMI,STOMI - Michigan State Government,US,США,United States,9,0,508160
2381,WISCNET1-AS,WISCNET1-AS - WiscNet,US,США,United States,108,22,506880
12312,ECOTEL,ECOTEL ecotel communication ag,DE,Германия,Europe,28,4,505856
54600,PEG-SV,PEG-SV - PEG TECH INC,US,США,United States,345,1,505344
12876,AS12876,AS12876 Scaleway SAS,FR,Франция,Europe,84,27,504059
26496,AS-26496-GO-DADDY-COM-LLC,"AS-26496-GO-DADDY-COM-LLC - GoDaddy.com, LLC",US,США,United States,320,18,503552
7979,SERVERS-COM,"SERVERS-COM - Servers.com, Inc.",US,США,United States,362,15,503296
15502,Vodafone-Ireland-ASN,Vodafone-Ireland-ASN Vodafone Ireland Limited,IE,Ирландия,Europe,53,0,501760
31713,GWCOMMS-MPLS,GWCOMMS-MPLS Gateway Communications,BE,Бельгия,Europe,410,0,498944
29802,HVC-AS,"HVC-AS - HIVELOCITY, Inc.",US,США,United States,2128,157,498513
44559,ITHOSTLINE,ITHOSTLINE IT HOSTLINE LTD,CY,Кипр,Europe,911,1,498176
31042,SERBIA-BROADBAND-AS,SERBIA-BROADBAND-AS Serbia BroadBand-Srpske Kablovske mreze d.o.o.,RS,Сербия,Europe,27,2,496384
35916,MULTA-ASN1,MULTA-ASN1 - MULTACOM CORPORATION,US,США,United States,245,11,493823
5852,DNIC-ASBLK-05800-06055,DNIC-ASBLK-05800-06055 - United States Department of Defense (DoD),US,США,United States,381,4,493312
13977,CTELCO,CTELCO - Fidium,US,США,United States,262,29,492032
1836,GREEN,GREEN green.ch AG Autonomous System,CH,Швейцария,Europe,80,5,491008
22616,ZSCALER-SJC1,"ZSCALER-SJC1 - ZSCALER, INC.",US,США,United States,421,22,490496
12578,APOLLO-AS,APOLLO-AS SIA Tet,LV,Латвия,Europe,156,19,487936
42689,Glide,Glide Glide Student & Residential Limited,GB,Великобритания,Europe,305,5,486912
17306,RISE-BROADBAND,"RISE-BROADBAND - JAB Wireless, INC.",US,США,United States,142,5,481024
29119,SERVIHOSTING-AS,SERVIHOSTING-AS AIRE NETWORKS DEL MEDITERRANEO SL UNIPERSONAL,ES,Испания,Europe,540,81,481024
8926,MOLDTELECOM-AS,MOLDTELECOM-AS Moldtelecom Autonomous System,MD,Молдова,Europe,126,20,477440
31615,Odido,Odido Odido Netherlands B.V.,NL,Нидерланды,Europe,19,0,475136
6453,AS6453,AS6453 - TATA COMMUNICATIONS (AMERICA) INC,US,США,United States,322,195,473856
8,RICE-AS,RICE-AS - Rice University,US,США,United States,15,1,462336
12663,VODAFONE-GROUP,VODAFONE-GROUP Fastweb SpA,IT,Италия,Europe,263,2,461312
40065,CNSERVERS,CNSERVERS - CNSERVERS LLC,US,США,United States,409,0,461312
394089,GCP-ENTERPRISE-USER-TRAFFIC,GCP-ENTERPRISE-USER-TRAFFIC - Google LLC,US,США,United States,83,1,460032
6614,USCC-ASN,"USCC-ASN - T-Mobile USA, Inc.",US,США,United States,46,0,449280
32934,FACEBOOK,"FACEBOOK - Facebook, Inc.",US,США,United States,169,330,444928
3999,PENN-STATE,PENN-STATE - The Pennsylvania State University,US,США,United States,11,1,443904
398781,OSL-188,OSL-188 - OCULUS NETWORKS INC,US,США,United States,375,0,437504
8851,EDGE,EDGE GCI Network Solutions Limited,GB,Великобритания,Europe,519,6,437248
398101,GO-DADDY-COM-LLC,"GO-DADDY-COM-LLC - GoDaddy.com, LLC",US,США,United States,235,5,435456
8001,COLOGIX,"COLOGIX - Cologix, Inc",US,США,United States,176,19,426752
3372,MCI-ASN,MCI-ASN - Verizon Business,US,США,United States,84,1,424704
12392,ASVOO,ASVOO Orange Belgium SA,BE,Бельгия,Europe,16,5,422912
62904,AS62904,AS62904 - Eonix Corporation,US,США,United States,520,60,422912
8374,PLUSNET,PLUSNET Plus network operator in Poland,PL,Польша,Europe,20,2,422656
12334,R,"R Cable y Telecable Telecomunicaciones, S.A.U.",ES,Испания,Europe,69,8,422656
7287,PBI-NET-BLK2,"PBI-NET-BLK2 - AT&T Enterprises, LLC",US,США,United States,282,173,420608
34058,LIFECELL-AS,"LIFECELL-AS Limited Liability Company ""lifecell""",UA,Украина,Ukraine,15,1,418816
5511,Opentransit,Opentransit Orange S.A.,FR,Франция,Europe,663,31,418048
60781,LEASEWEB-NL-AMS-01,LEASEWEB-NL-AMS-01 LeaseWeb Netherlands B.V.,NL,Нидерланды,Europe,307,315,411904
13188,TRIOLAN,TRIOLAN CONTENT DELIVERY NETWORK LTD,UA,Украина,Ukraine,27,33,410880
6559,NCIH,NCIH - State of NC - State Telecommunications Services,US,США,United States,9,0,410368
2107,ARNES-NET,ARNES-NET Academic and Research Network of Slovenia,SI,Словения,Europe,25,1,409344
43515,YOUTUBE,YOUTUBE Google Ireland Limited,IE,Ирландия,Europe,85,36,404992
15395,RACKSPACE-LON,RACKSPACE-LON Rackspace Ltd.,GB,Великобритания,Europe,49,1,402176
1955,HBONE-AS,HBONE-AS KIFU (Governmental Info Tech Development Agency),HU,Венгрия,Europe,18,1,395520
12816,MWN-AS,MWN-AS Leibniz-Rechenzentrum,DE,Германия,Europe,9,1,395008
3136,STATE-OF-WISCONSIN-AS1,STATE-OF-WISCONSIN-AS1 - State of WI Dept. of Administration,US,США,United States,28,1,394496
1715,FR-REMIP2000,FR-REMIP2000 REMIP 2000 Autonomous System,FR,Франция,Europe,9,0,393984
17055,UTAH,UTAH - University of Utah,US,США,United States,32,1,393984
12291,DPAG-AS,DPAG-AS Deutsche Post AG,DE,Германия,Europe,5,0,393728
357,DNIC-ASBLK-00306-00371,DNIC-ASBLK-00306-00371 - United States Department of Defense (DoD),US,США,United States,4,1,393216
361,DNIC-ASBLK-00306-00371,DNIC-ASBLK-00306-00371 - United States Department of Defense (DoD),US,США,United States,15,1,393216
11663,SUG-1,SUG-1 - State of Utah,US,США,United States,21,0,392704
15854,DXC_Customer,DXC_Customer EntServ Deutschland GmbH,DE,Германия,Europe,37,0,391424
54004,LIGHTPATH,LIGHTPATH - Cablevision Lightpath LLC,US,США,United States,407,53,385280
20860,IOMART-AS,IOMART-AS IOMART CLOUD SERVICES LIMITED,GB,Великобритания,Europe,263,19,384768
1299,TWELVE99,"TWELVE99 Arelion, fka Telia Carrier",SE,Швеция,Europe,103,33,382976
31027,GlobalConnect-AS31027,GlobalConnect-AS31027 GlobalConnect A/S,DK,Дания,Europe,124,14,381696
6122,ICN-AS,ICN-AS - Iowa Communications Network,US,США,United States,88,25,377600
6939,HURRICANE,HURRICANE - Hurricane Electric LLC,US,США,United States,461,211,373504
30058,FDCSERVERS,FDCSERVERS - FDCservers.net,US,США,United States,537,103,372478
2047,ASN-ROCHE-BASLE,ASN-ROCHE-BASLE Hoffmann - La Roche Ltd.,CH,Швейцария,Europe,19,17,371456
36149,HAWAIIAN-TELCOM,"HAWAIIAN-TELCOM - Hawaiian Telcom Services Company, Inc.",US,США,United States,39,1,369152
647,DNIC-ASBLK-00616-00665,DNIC-ASBLK-00616-00665 - United States Department of Defense (DoD),US,США,United States,310,0,364032
54113,FASTLY,"FASTLY - Fastly, Inc.",US,США,United States,275,1005,363008
35612,NGI-AS,NGI-AS EOLO S.p.A.,IT,Италия,Europe,16,1,361472
1930,RCCN,"RCCN Fundacao para a Ciencia e a Tecnologia, I.P.",PT,Португалия,Europe,73,1,359936
62240,CLOUVIDER,CLOUVIDER Clouvider - Global ASN,GB,Великобритания,Europe,776,480,359680
61157,PLUSSERVER-ASN1,PLUSSERVER-ASN1 PlusServer GmbH,DE,Германия,Europe,181,52,358912
8468,ENTANET,ENTANET ENTANET International Limited,GB,Великобритания,Europe,44,5,358400
3354,THENET-AS-3354,THENET-AS-3354 - University of Texas System,US,США,United States,85,8,355840
513,CERN,CERN CERN - European Organization for Nuclear Research,CH,Швейцария,Europe,19,1,354816
15943,WTNET-AS,WTNET-AS wilhelm.tel GmbH,DE,Германия,Europe,66,4,354304
3212,TELEMACH,TELEMACH Broadband Access & Carrier Services,SI,Словения,Europe,37,4,350464
2688,ATGS-MMD-AS,"ATGS-MMD-AS - AT&T Enterprises, LLC",US,США,United States,92,1,345344
213155,YETTEL-HU,YETTEL-HU Yettel Hungary Ltd.,HU,Венгрия,Europe,7,1,344064
25472,WIND-AS,WIND-AS Nova Telecommunications & Media Single Member S.A,GR,Греция,Europe,89,83,342272
13445,WEBEX,WEBEX - Cisco Webex LLC,US,США,United States,87,148,342016
15516,DK-DANSKKABELTV,DK-DANSKKABELTV DKTV A/S,DK,Дания,Europe,10,3,340992
30600,AS-CMN,AS-CMN - Metronet,US,США,United States,198,49,340480
33654,CMCS,"CMCS - Comcast Cable Communications, LLC",US,США,United States,64,22,337920
1853,ACONET,ACONET ACOnet Backbone,AT,Австрия,Europe,31,32,334080
44869,FIBIA-P-S,FIBIA-P-S FIBIA P/S,DK,Дания,Europe,12,1,333824
14638,LCPRL,LCPRL - Liberty Communications of Puerto Rico LLC,US,США,United States,309,39,333312
2857,RLP-NET,RLP-NET Johannes Gutenberg-Universitaet Mainz,DE,Германия,Europe,10,1,332800
59,WISC-MADISON-AS,WISC-MADISON-AS - University of Wisconsin Madison,US,США,United States,33,1,331004
91,RPI-AS,RPI-AS - Rensselaer Polytechnic Institute,US,США,United States,11,2,330496
8803,MIGROS,MIGROS Migros-Genossenschafts-Bund,CH,Швейцария,Europe,9,0,330240
32,STANFORD,STANFORD - Stanford University,US,США,United States,3,2,329728
32475,SINGLEHOP-LLC,SINGLEHOP-LLC - Internap Holding LLC,US,США,United States,295,20,329728
52,UCLA,"UCLA - University of California, Los Angeles",US,США,United States,29,102,328968
200845,AVATEL-AS,"AVATEL-AS AVATEL TELECOM, SA",ES,Испания,Europe,390,2,328960
210278,SKYIT-BB,SKYIT-BB Sky Italia srl,IT,Италия,Europe,3,1,328704
68,LANL-NM,LANL-NM - Los Alamos National Laboratory,US,США,United States,8,8,328448
6289,AHM-CORP,"AHM-CORP - American Honda Motor Company, Inc.",US,США,United States,35,0,328448
42848,EC-AS,EC-AS European Commission,LU,Люксембург,Europe,30,24,327680
217,UMN-SYSTEM,UMN-SYSTEM - University of Minnesota,US,США,United States,9,1,325632
21283,A1SI-AS,"A1SI-AS A1 Slovenija telekomunikacijske storitve,d.d.",SI,Словения,Europe,24,2,325632
3527,NIH-NET,NIH-NET - National Institutes of Health,US,США,United States,63,6,324608
8047,GCI,"GCI - GENERAL COMMUNICATION, INC.",US,США,United States,19,1,323840
29992,VA-TMP-CORE,VA-TMP-CORE - U.S. Department of Veterans Affairs,US,США,United States,58,3,323328
3477,NOAA-NWAVE,NOAA-NWAVE - National Oceanic and Atmospheric Administration,US,США,United States,93,38,321280
6922,TEXASAGENCYNET,TEXASAGENCYNET - Texas Department of Information Resources,US,США,United States,46,47,321024
15600,QUICKLINE,QUICKLINE Quickline AG,CH,Швейцария,Europe,55,22,319488
15108,ALLO-COMM,ALLO-COMM - Allo Communications LLC,US,США,United States,39,1,317440
6821,MT-AS-OWN,MT-AS-OWN Makedonski Telekom AD-Skopje,MK,Северная Македония,Europe,109,1,316672
12301,Invitech,Invitech Invitech ICT Services Kft.,HU,Венгрия,Europe,256,21,316672
13536,TVC-AS1,"TVC-AS1 - FirstLight Fiber, Inc.",US,США,United States,115,55,315904
27364,ACS-INTERNET,ACS-INTERNET - Armstrong,US,США,United States,15,1,315904
3308,TELIANET-DENMARK,TELIANET-DENMARK Norlys Telco A/S,DK,Дания,Europe,21,6,314880
5578,AS-BENESTRA,"AS-BENESTRA SWAN, a.s.",SK,Словакия,Europe,140,20,313600
27046,DNIC-ASBLK-27032-27159,DNIC-ASBLK-27032-27159 - United States Department of Defense (DoD),US,США,United States,373,104,312320
13041,CESCA-AC,CESCA-AC Consorci de Serveis Universitaris de Catalunya,ES,Испания,Europe,8,2,311808
23005,SWITCH-LTD,"SWITCH-LTD - SWITCH, LTD",US,США,United States,253,65,311552
17054,EXPEDIENT,EXPEDIENT - Expedient,US,США,United States,116,8,310528
12350,VTX-NETWORK,VTX-NETWORK VTX Services SA,CH,Швейцария,Europe,29,2,310016
3480,PEACHNET-AS3480,PEACHNET-AS3480 - Board of Regents of the University System of Georgia,US,США,United States,55,0,308992
13124,A1BG_RSD,A1BG_RSD A1 Bulgaria EAD,BG,Болгария,Europe,187,60,308480
12969,Vodafone_Iceland,Vodafone_Iceland Ljosleidarinn ehf,IS,Исландия,Europe,28,2,306688
30103,ZOOM-VIDEO-COMM-AS,"ZOOM-VIDEO-COMM-AS - Zoom Video Communications, Inc",US,США,United States,99,25,306176
11320,LIGHTEDGE-AS-02,LIGHTEDGE-AS-02 - LightEdge Solutions,US,США,United States,173,13,305152
21852,DISNW1,"DISNW1 - State Of Arkansas, Division of Information Systems",US,США,United States,8,0,304640
54253,ORCL-CHICAGO-PP,ORCL-CHICAGO-PP - Oracle Corporation,US,США,United States,237,614,304640
7843,TWC-7843-BB,TWC-7843-BB - Charter Communications Inc,US,США,United States,165,39,300032
18,UTEXAS,UTEXAS - University of Texas at Austin,US,США,United States,8,0,299520
26810,HHSNET-NOC-ASN,HHSNET-NOC-ASN - U.S. Dept. of Health and Human Services,US,США,United States,63,3,298496
683,ARGONNE-AS,ARGONNE-AS - Argonne National Laboratory,US,США,United States,18,9,297216
198678,deloscloud,deloscloud Delos Cloud GmbH,DE,Германия,Europe,4,1,294912
11714,NETWORK,NETWORK NEBRASKA - Network Nebraska,US,США,United States,30,2,294400
557,UMAINE-SYS-AS,UMAINE-SYS-AS - University of Maine System,US,США,United States,16,1,292608
18747,IFX18747,IFX18747 - IFX Corporation,US,США,United States,213,51,292096
25180,EXPONENTIAL-E-AS,EXPONENTIAL-E-AS Exponential-E Ltd.,GB,Великобритания,Europe,38,3,291072
12709,MELITACABLE,MELITACABLE Melita Limited,MT,Мальта,Europe,25,4,289792
1341,ROCKWELLCOLLINS-AS,"ROCKWELLCOLLINS-AS - Rockwell Collins, Inc.",US,США,United States,49,1,289280
5056,AUREON-5056,AUREON-5056 - Aureon Network Services,US,США,United States,540,76,289024
7127,SCE,SCE - Southern California Edison,US,США,United States,6,0,286976
48161,NG-AS,NG-AS Sos. Bucuresti - Ploiesti nr. 42-44,RO,Румыния,Europe,116,0,284416
391,AFCONC-BLOCK1-AS,AFCONC-BLOCK1-AS - Air Force Systems Networking,US,США,United States,40,0,283648
6762,SEABONE-NET,SEABONE-NET TELECOM ITALIA SPARKLE S.p.A.,IT,Италия,Europe,231,18,282624
31034,ARUBA-ASN,ARUBA-ASN Aruba S.p.A.,IT,Италия,Europe,74,19,282624
8069,MICROSOFT-CORP-MSN-AS-BLOCK,MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation,US,США,United States,194,0,282112
57269,DIGI-ES,DIGI-ES DIGI SPAIN TELECOM S.A,ES,Испания,Europe,8,1,281088
32098,TRANSTELCO-INC,TRANSTELCO-INC - Transtelco Inc,US,США,United States,262,1803,280832
226,LOS-NETTOS-AS,LOS-NETTOS-AS - Los Nettos,US,США,United States,90,46,280576
22205,DATAPIPE-SEA,"DATAPIPE-SEA - DataPipe, Inc.",US,США,United States,55,1,280320
19957,STATE-OF-TENNESSEE-NETTN,"STATE-OF-TENNESSEE-NETTN - AT&T Enterprises, LLC",US,США,United States,68,0,276736
8147,ASERICY,ASERICY - Ericsson Inc.,US,США,United States,32,5,276224
2386,INS-AS,"INS-AS - AT&T Enterprises, LLC",US,США,United States,305,1,275840
127,JPL-AS127,JPL-AS127 - Jet Propulsion Laboratory,US,США,United States,41,2,275456
35986,VYVE-BROADBAND,VYVE-BROADBAND - Vyve Broadband,US,США,United States,296,17,274176
30844,LIQUID-AS,LIQUID-AS Liquid Telecommunications Ltd,GB,Великобритания,Europe,231,59,273664
20910,BALTKOM-AS,"BALTKOM-AS SIA ""BITE Latvija""",LV,Латвия,Europe,22,3,273408
54801,ZILLION-NETWORK,ZILLION-NETWORK - Zillion Network Inc.,US,США,United States,133,0,272384
5180,DNIC-ASBLK-05120-05376,DNIC-ASBLK-05120-05376 - United States Department of Defense (DoD),US,США,United States,41,0,271360
122,UPMC-AS122,UPMC-AS122 - UPMC,US,США,United States,28,1,270848
409,AFCONC-BLOCK1-AS,AFCONC-BLOCK1-AS - Air Force Systems Networking,US,США,United States,42,0,269312
2576,DOT-AS,DOT-AS - U. S. Department of Transportation,US,США,United States,15,15,268800
29208,QUANTCOM-AS,"QUANTCOM-AS Quantcom, a.s.",CZ,Чехия,Europe,38,19,265984
16236,PSA,PSA Stellantis Auto SAS,FR,Франция,Europe,75,1,265216
47610,RWTH-AS,RWTH-AS RWTH Aachen University,DE,Германия,Europe,11,4,265216
370,DNIC-ASBLK-00306-00371,DNIC-ASBLK-00306-00371 - United States Department of Defense (DoD),US,США,United States,84,1,264192
11377,SENDGRID,"SENDGRID - SendGrid, Inc.",US,США,United States,41,0,263936
18779,EGIHOSTING,EGIHOSTING - EGIHosting,US,США,United States,663,38,263936
29580,A1BG_RSG,A1BG_RSG A1 Bulgaria EAD,BG,Болгария,Europe,282,10,263168
19902,NET-STATE-OHIO,NET-STATE-OHIO - Department of Administrative Services,US,США,United States,17,0,262912
27357,RACKSPACE,RACKSPACE - Rackspace Hosting,US,США,United States,41,1,262912
9159,Credit,Credit Agricole SA,FR,Франция,Europe,21,0,262656
299,UCINET-AS,"UCINET-AS - University of California, Irvine",US,США,United States,7,3,262404
82,OPENTEXT,OPENTEXT - Attachmate Corp.,US,США,United States,17,15,262400
14298,EPA-NET,EPA-NET - Environmental Protection Agency,US,США,United States,4,1,262400
197425,SAAB-ASN,SAAB-ASN SAAB AB,SE,Швеция,Europe,5,0,262400
291,ESNET-EAST,ESNET-EAST - ESnet,US,США,United States,1,0,262144
292,ESNET-WEST,ESNET-WEST - ESnet,US,США,United States,1,0,262144
26662,XEROX-WV,XEROX-WV - XEROX CORPORATION,US,США,United States,27,0,262144
55,UPENN,UPENN - University of Pennsylvania,US,США,United States,11,16,261888
2048,LANET-1,LANET-1 - State of Louisiana Office of Technology Services,US,США,United States,120,0,261664
15962,OSK-DNI,OSK-DNI Orange Slovensko a.s.,SK,Словакия,Europe,21,1,261120
4454,TNET-AS,TNET-AS - State of Tennessee,US,США,United States,21,0,260864
8308,NASK-COMMERCIAL,NASK-COMMERCIAL NAUKOWA I AKADEMICKA SIEC KOMPUTEROWA - PANSTWOWY INSTYTUT BADAWCZY,PL,Польша,Europe,119,33,260352
6360,UNIVHAWAII,UNIVHAWAII - University of Hawaii,US,США,United States,142,199,255234
42863,MEO-MOVEL,MEO-MOVEL MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,PT,Португалия,Europe,9,1,254976
12390,KINGSTON-UK-AS,KINGSTON-UK-AS KCOM Group Limited,GB,Великобритания,Europe,23,2,250880
16347,INHERENT,INHERENT ADISTA SAS,FR,Франция,Europe,146,14,250368
32244,LIQUIDWEB,"LIQUIDWEB - Liquid Web, L.L.C",US,США,United States,52,6,250368
25106,MTSBY-AS,MTSBY-AS Mobile TeleSystems JLLC,BY,Беларусь,Europe,150,30,250112
42772,A1-BY-AS,A1-BY-AS Unitary enterprise A1,BY,Беларусь,Europe,148,7,247808
29247,COSMOTE-GR,COSMOTE-GR Ote SA (Hellenic Telecommunications Organisation),GR,Греция,Europe,11,10,247552
33666,CMCS,"CMCS - Comcast Cable Communications, LLC",US,США,United States,89,12,247296
2110,AS-BTIRE,AS-BTIRE Enet Communications LIMITED,IE,Ирландия,Europe,50,20,243456
8339,KABSI-AS,KABSI-AS kabelplus GmbH,AT,Австрия,Europe,35,3,242688
8445,SALZBURG-AG-AS,"SALZBURG-AG-AS SALZBURG AG fur Energie, Verkehr und Telekommunikation",AT,Австрия,Europe,40,2,241408
20021,LNH-INC,"LNH-INC - Ntirety, Inc.",US,США,United States,35,2,241152
10455,LUCENT-CIO,LUCENT-CIO - Nokia of America Corporation,US,США,United States,58,4,240384
16504,GRANITE,GRANITE - Granite Telecommunications LLC,US,США,United States,61,18,239360
201838,ASN-COMMUNITYFIBRE,ASN-COMMUNITYFIBRE Community Fibre Limited,GB,Великобритания,Europe,101,2,238336
73,WASHINGTON-AS,WASHINGTON-AS - University of Washington,US,США,United States,12,8,238080
15659,NEXTGENTEL,NEXTGENTEL NEXTGENTEL Autonomous System,NO,Норвегия,Europe,14,2,238080
